timestamp,file,events,models,input_tokens,output_tokens,total_tokens,estimated_cost_usd
2025-10-13T22:42:24.374150+00:00,Q3 18 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.374622+00:00,Q3 19 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.375197+00:00,amkr-20200630 Q2 20 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.375448+00:00,amkr-20200930 Q3 20 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.375832+00:00,amkr-20201231 annual 20 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.376050+00:00,amkr-20210331 Q1 21 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.376526+00:00,amkr-20210630 Q2 21 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.376951+00:00,amkr-20210930 Q3 21 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.377359+00:00,amkr-20211231 annual 21 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.379121+00:00,amkr-20220331 Q1 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.380595+00:00,amkr-20220630 Q2 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.380999+00:00,amkr-20220930 Q3 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.381199+00:00,amkr-20221231 annual 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.381494+00:00,amkr-20230331 Q1 23 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.381812+00:00,amkr-20230630 Q2 23 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.381972+00:00,amkr-20230930 Q3 23 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.382291+00:00,amkr-20231231 annual 23 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.382515+00:00,amkr-20240331 Q1 24 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.382773+00:00,amkr-20240630 Q2 24 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.382960+00:00,amkr-20240930 Q3 24 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.383120+00:00,amkr-20241231 annual 24 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.383306+00:00,amkr-20250331 Q1 25 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.383471+00:00,amkr-20250630 Q2 25 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.384104+00:00,annual 16 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.384559+00:00,annual 17 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.384961+00:00,annual 18 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.385297+00:00,annual 19 23.01.04 - FS only (robust).pdf,0,,0,0,0,
